datetime,open,high,low,close,volume
2022-02-15,157.60550,158.00700,154.63750,156.51050,56440000
2022-02-14,151.75101,158.44850,151.64999,155.16701,83230000
2022-02-11,158.13451,159.00000,152.73399,153.29350,77100000
2022-02-10,158.35001,160.71651,157.75000,159.00349,68268000
2022-02-09,162.87350,163.83450,160.25000,161.18950,68786000
2022-02-08,156.75050,161.79250,155.55051,161.41350,76040000
2022-02-07,158.52000,162.69099,157.25000,157.93550,102624000
2022-02-04,155.60651,161.20000,150.60800,157.63950,253456000
2022-02-03,141.73750,144.24750,138.33299,138.84550,225532000
2022-02-02,155.05051,155.07500,148.86349,150.61250,87330000
2022-02-01,150.00000,151.70799,147.62750,151.19350,59220000
2022-01-31,144.75000,150.36050,144.30051,149.57350,78308000
2022-01-28,140.86050,143.99800,137.92950,143.97800,74392000
2022-01-27,140.80000,144.24350,139.35001,139.63750,77516000
2022-01-26,144.75000,145.18500,137.31850,138.87250,95602000
2022-01-25,142.24249,143.60001,138.14500,139.98599,90824000
2022-01-24,139.00000,144.94501,135.35201,144.54401,155624000
2022-01-21,149.95000,150.89999,142.07050,142.64301,163972000
2022-01-20,156.76601,158.00000,151.35100,151.66750,71974000
2022-01-19,158.76199,159.25000,156.25000,156.29900,53242000
2022-01-18,159.10500,159.73450,157.66451,158.91750,67292000
2022-01-14,160.14999,162.25000,159.80051,162.13800,45974000
2022-01-13,165.25050,166.22150,161.09100,161.21400,52188000
2022-01-12,166.57500,166.87801,164.41701,165.20700,50030000
2022-01-11,161.50000,166.35001,160.70151,165.36200,62806000
2022-01-10,160.58549,161.66150,156.30450,161.48599,87798000
2022-01-07,163.83900,165.24350,162.03101,162.55400,46606000
2022-01-06,163.45050,164.80000,161.93700,163.25400,51958000
2022-01-05,166.88300,167.12650,164.35699,164.35699,64302000
2022-01-04,170.43800,171.39999,166.34950,167.52200,70726000
2022-01-03,167.55000,170.70351,166.16051,170.40450,63520000
2021-12-31,168.95599,169.35001,166.55850,166.71700,47830000
2021-12-30,169.70000,170.88800,168.52400,168.64450,37584000
2021-12-29,170.84000,171.21201,168.60049,169.20100,35754000
2021-12-28,170.18250,172.17599,169.13550,170.66100,54638000
2021-12-27,171.03700,172.94299,169.21550,169.66949,58688000
2021-12-23,170.42799,171.97501,170.14999,171.06850,36788000
2021-12-22,169.27000,172.05000,168.50050,171.03700,55036000
2021-12-21,167.85049,170.71651,165.64751,170.41701,55956000
2021-12-20,166.85001,167.87450,165.60001,167.07899,57372000
2021-12-17,167.71049,170.89850,165.61349,170.01750,85542000
2021-12-16,173.36850,174.16600,168.16051,168.87100,60876000
2021-12-15,168.59801,173.60001,165.19501,173.31500,75794000
2021-12-14,167.55000,169.49899,166.44000,169.09151,55976000
2021-12-13,172.00000,172.10001,169.13000,169.56750,62170000
2021-12-10,175.41701,175.92700,170.50000,172.21201,60690000
2021-12-09,175.75000,176.96950,174.13950,174.17101,46062000
2021-12-08,176.15050,177.17999,174.75050,176.15800,45254000
2021-12-07,174.60001,177.49950,173.33450,176.16451,66410000
2021-12-06,169.64999,173.69550,166.93449,171.36850,68860000
2021-12-03,172.75000,173.49350,166.92999,169.48950,80712000
2021-12-02,173.00000,174.63499,171.18750,171.86800,64726000
2021-12-01,177.25000,177.99400,172.08000,172.18600,74916000
2021-11-30,178.17500,179.28850,174.60049,175.35350,80022000
2021-11-29,177.38200,179.80000,176.57500,178.07851,65312000
2021-11-26,180.10500,181.67500,175.20750,175.22800,59826000
2021-11-24,178.13350,180.68201,176.84250,179.02049,46560000
2021-11-23,179.25200,181.05251,176.38550,179.00200,73804000
2021-11-22,183.81900,185.67300,178.37500,178.62849,96844000
2021-11-19,185.63451,188.10750,183.78600,183.82851,98734000
2021-11-18,178.31750,185.21001,178.05000,184.80299,114070000
2021-11-17,178.23599,179.36250,177.26750,177.45000,51206000
2021-11-16,176.95000,178.82500,176.25751,177.03500,44342000
2021-11-15,176.85001,179.69400,176.29050,177.28400,58594000
2021-11-12,174.25000,177.03650,172.35249,176.25751,53788000
2021-11-11,175.64999,177.16200,173.37350,173.62500,45288000
2021-11-10,178.19350,180.27251,173.15450,174.10249,80548000
2021-11-09,175.76250,179.68851,175.07150,178.81149,85898000
2021-11-08,176.16200,178.95000,174.39301,174.44901,61480000
2021-11-05,173.85001,178.31250,173.84900,175.94949,99940000
2021-11-04,168.50000,174.93150,168.25000,173.85001,107060000
2021-11-03,165.45000,169.74600,164.87601,169.20000,67944000
2021-11-02,165.75050,166.55600,164.17751,165.63750,52552000
2021-11-01,168.09000,168.79300,164.60100,165.90550,72178000
2021-10-29,165.00101,168.74100,163.66600,168.62151,129722000
2021-10-28,170.10500,173.95000,169.30000,172.32851,114174000
2021-10-27,169.39999,171.85001,168.57249,169.62450,54044000
2021-10-26,167.47549,170.80600,167.19901,168.80350,53966000
2021-10-25,166.75000,167.39000,164.88499,166.01849,44520000
2021-10-22,171.05000,171.49200,166.56500,166.77750,62782000
2021-10-21,170.71249,172.01401,170.14999,171.75050,37628000
2021-10-20,172.63300,173.14301,170.01849,170.75301,42796000
2021-10-19,171.71449,172.73450,171.10001,172.20750,47722000
2021-10-18,169.41800,172.45850,169.25500,172.33701,63482000
2021-10-15,165.57100,170.52100,165.20000,170.45100,103598000
2021-10-14,165.12250,165.63000,164.53900,164.99300,42190000
2021-10-13,163.48550,164.41901,163.05450,164.21400,48402000
